departamento,municipio,departamento_nombre,municipio_nombre,potencial,total_votos_mmv,votos_validos,voto_blanco,voto_nulo,no_marcados,abstencion_estimada,bolsa_indefinida,ganador,codigo_ganador,votos_ganador,pct_validos_ganador,segundo,codigo_segundo,votos_segundo,pct_validos_segundo,margen_votos,margen_pp,categoria_territorial
1,1,ANTIOQUIA,MEDELLIN,1806563.0,1241123,1227731,23454,11100,2292,565440.0,602286.0,ABELARDO DE LA ESPRIELLA,4,676358,0.5509008080760363,IVAN CEPEDA,1.0,300729.0,0.244946979427904,375629.0,0.3059538286481322,CONSOLIDADO
1,4,ANTIOQUIA,ABEJORRAL,15398.0,7590,7472,113,65,53,7808.0,8039.0,ABELARDO DE LA ESPRIELLA,4,4191,0.5608940042826552,PALOMA VALENCIA,11.0,1635.0,0.2188169164882226,2556.0,0.3420770877944326,CONSOLIDADO
1,7,ANTIOQUIA,ABRIAQUI,2029.0,1097,1077,16,18,2,932.0,968.0,ABELARDO DE LA ESPRIELLA,4,592,0.5496750232126276,PALOMA VALENCIA,11.0,319.0,0.2961931290622098,273.0,0.2534818941504178,VENTAJA_DEFENDIBLE
1,10,ANTIOQUIA,ALEJANDRIA,4743.0,2760,2724,30,14,22,1983.0,2049.0,ABELARDO DE LA ESPRIELLA,4,1811,0.6648311306901615,IVAN CEPEDA,1.0,389.0,0.1428046989720998,1422.0,0.5220264317180616,CONSOLIDADO
1,13,ANTIOQUIA,AMAGA,24772.0,13229,12966,331,211,52,11543.0,12137.0,ABELARDO DE LA ESPRIELLA,4,6531,0.503701989819528,IVAN CEPEDA,1.0,3882.0,0.2993984266543267,2649.0,0.2043035631652012,CONSOLIDADO
1,16,ANTIOQUIA,AMALFI,19004.0,6760,6657,232,66,37,12244.0,12579.0,ABELARDO DE LA ESPRIELLA,4,4087,0.6139402133092985,IVAN CEPEDA,1.0,1140.0,0.1712483100495719,2947.0,0.4426919032597266,CONSOLIDADO
1,19,ANTIOQUIA,ANDES,36323.0,17719,17551,246,117,51,18604.0,19018.0,ABELARDO DE LA ESPRIELLA,4,10148,0.5782006723263632,PALOMA VALENCIA,11.0,3583.0,0.2041479117998974,6565.0,0.3740527605264657,CONSOLIDADO
1,22,ANTIOQUIA,ANGELOPOLIS,5986.0,2955,2899,65,39,17,3031.0,3152.0,ABELARDO DE LA ESPRIELLA,4,1619,0.5584684373922042,IVAN CEPEDA,1.0,544.0,0.1876509141083132,1075.0,0.3708175232838909,CONSOLIDADO
1,25,ANTIOQUIA,ANGOSTURA,9462.0,3667,3478,128,116,73,5795.0,6112.0,ABELARDO DE LA ESPRIELLA,4,1816,0.5221391604370328,PALOMA VALENCIA,11.0,600.0,0.1725129384703853,1216.0,0.3496262219666475,CONSOLIDADO
1,28,ANTIOQUIA,ANORI,13703.0,3813,3758,143,26,29,9890.0,10088.0,ABELARDO DE LA ESPRIELLA,4,1811,0.4819052687599787,IVAN CEPEDA,1.0,1275.0,0.3392762107503991,536.0,0.1426290580095795,VENTAJA_DEFENDIBLE
1,31,ANTIOQUIA,ANTIOQUIA,24438.0,12290,12060,318,160,70,12148.0,12696.0,ABELARDO DE LA ESPRIELLA,4,5907,0.4898009950248756,IVAN CEPEDA,1.0,3261.0,0.2703980099502487,2646.0,0.2194029850746268,VENTAJA_DEFENDIBLE
1,34,ANTIOQUIA,ANZA,6689.0,2953,2901,47,23,29,3736.0,3835.0,ABELARDO DE LA ESPRIELLA,4,1811,0.6242674939675974,PALOMA VALENCIA,11.0,463.0,0.1596001378834884,1348.0,0.4646673560841089,CONSOLIDADO
1,35,ANTIOQUIA,APARTADO,109813.0,54916,54380,1389,403,133,54897.0,56822.0,IVAN CEPEDA,1,32102,0.5903273262228761,ABELARDO DE LA ESPRIELLA,4.0,16661.0,0.3063810224347186,15441.0,0.2839463037881574,CONSOLIDADO
1,37,ANTIOQUIA,ARBOLETES,23451.0,9852,9773,93,42,37,13599.0,13771.0,ABELARDO DE LA ESPRIELLA,4,4837,0.4949350250690678,IVAN CEPEDA,1.0,4120.0,0.4215696306149595,717.0,0.0733653944541082,RESERVA_DEFINIBLE
1,39,ANTIOQUIA,ARGELIA,6827.0,3202,3164,41,18,20,3625.0,3704.0,ABELARDO DE LA ESPRIELLA,4,1946,0.6150442477876106,PALOMA VALENCIA,11.0,670.0,0.2117572692793931,1276.0,0.4032869785082174,CONSOLIDADO
1,40,ANTIOQUIA,ARMENIA,4586.0,2305,2256,33,24,25,2281.0,2363.0,ABELARDO DE LA ESPRIELLA,4,1311,0.5811170212765957,IVAN CEPEDA,1.0,400.0,0.1773049645390071,911.0,0.4038120567375886,CONSOLIDADO
1,43,ANTIOQUIA,BARBOSA,46982.0,24555,23983,684,467,105,22427.0,23683.0,ABELARDO DE LA ESPRIELLA,4,11617,0.4843847725472209,IVAN CEPEDA,1.0,6929.0,0.2889129800275195,4688.0,0.1954717925197014,VENTAJA_DEFENDIBLE
