candidato,codigo_candidato,nombre_candidato,tipo_registro,estado_primera_vuelta,bloque_referencia_2v
4,004,ABELARDO DE LA ESPRIELLA,CANDIDATO,PASA_A_SEGUNDA,ABELARDO
1,001,IVAN CEPEDA,CANDIDATO,PASA_A_SEGUNDA,CEPEDA
11,011,PALOMA VALENCIA,CANDIDATO,ELIMINADO,ABELARDO
12,012,SERGIO FAJARDO,CANDIDATO,ELIMINADO,DIVIDIDO
996,996,VOTO EN BLANCO,VOTO_EN_BLANCO,NO_APLICA,INDEFINIDO
997,997,VOTO NULO,VOTO_NULO,NO_APLICA,INDEFINIDO
2,002,CLAUDIA LOPEZ,CANDIDATO,ELIMINADO,CEPEDA
3,003,SANTIAGO BOTERO,CANDIDATO,ELIMINADO,INCIERTO
5,005,MAURICIO LIZCANO,CANDIDATO,ELIMINADO,CEPEDA
998,998,NO MARCADOS,NO_MARCADO,NO_APLICA,INDEFINIDO
6,006,MIGUEL URIBE,CANDIDATO,ELIMINADO,ABELARDO
7,007,SONDRA MACOLLINS,CANDIDATO,ELIMINADO,INCIERTO
8,008,ROY BARRERAS,CANDIDATO,ELIMINADO,CEPEDA
13,013,LUIS GILBERTO MURILLO,CANDIDATO,ELIMINADO,CEPEDA
9,009,CARLOS CAICEDO,CANDIDATO,ELIMINADO,CEPEDA
10,010,GUSTAVO MATAMORROS,CANDIDATO,ELIMINADO,INCIERTO
