departamento,municipio,departamento_nombre,municipio_nombre,total_votos_mmv,votos_validos,ABELARDO DE LA ESPRIELLA,CARLOS CAICEDO,CLAUDIA LOPEZ,GUSTAVO MATAMORROS,IVAN CEPEDA,LUIS GILBERTO MURILLO,MAURICIO LIZCANO,MIGUEL URIBE,NO MARCADOS,PALOMA VALENCIA,ROY BARRERAS,SANTIAGO BOTERO,SERGIO FAJARDO,SONDRA MACOLLINS,VOTO EN BLANCO,VOTO NULO,votos_abelardo,votos_cepeda,margen_abelardo_vs_cepeda,ganador_2v_base,margen_abs,margen_pp_validos,voto_blanco,voto_nulo,no_marcados,abstencion_estimada,bolsa_indefinida,score_disputa,score_oportunidad,potencial
1,1,ANTIOQUIA,MEDELLIN,1241123,1227731,676358,359,5056,222,300729,621,1504,1340,2292,101941,528,9253,105609,757,23454,11100,676358,300729,375629,ABELARDO DE LA ESPRIELLA,375629,0.3059538286481322,23454,11100,2292,650739.0,687585.0,0.44375721550262415,5.964515080680033,1891862.0
1,4,ANTIOQUIA,ABEJORRAL,7590,7472,4191,3,45,6,924,3,15,29,53,1635,11,132,343,22,113,65,4191,924,3267,ABELARDO DE LA ESPRIELLA,3267,0.4372323340471092,113,65,53,7808.0,8039.0,0.19942770513079233,1.7932906914611613,15398.0
1,7,ANTIOQUIA,ABRIAQUI,1097,1077,592,0,4,0,102,1,1,2,2,319,3,8,26,3,16,18,592,102,490,ABELARDO DE LA ESPRIELLA,490,0.4549675023212627,16,18,2,932.0,968.0,0.15017958710250318,1.0326745802213095,2029.0
1,10,ANTIOQUIA,ALEJANDRIA,2760,2724,1811,2,2,0,389,1,8,3,22,312,1,48,114,3,30,14,1811,389,1422,ABELARDO DE LA ESPRIELLA,1422,0.5220264317180616,30,14,22,1983.0,2049.0,0.14868102852621493,1.1337813184490892,4743.0
1,13,ANTIOQUIA,AMAGA,13229,12966,6531,14,52,2,3882,14,40,21,52,1067,10,325,659,18,331,211,6531,3882,2649,ABELARDO DE LA ESPRIELLA,2649,0.2043035631652013,331,211,52,11543.0,12137.0,0.44190412924905825,4.155708989652121,24772.0
1,16,ANTIOQUIA,AMALFI,6760,6657,4087,4,41,3,1140,11,19,27,37,572,27,153,327,14,232,66,4087,1140,2947,ABELARDO DE LA ESPRIELLA,2947,0.4426919032597266,232,66,37,12244.0,12579.0,0.194471656213476,1.8357858951577697,19004.0
1,19,ANTIOQUIA,ANDES,17719,17551,10148,13,52,13,2566,9,19,45,51,3583,13,243,584,17,246,117,10148,2566,7582,ABELARDO DE LA ESPRIELLA,7582,0.431998176742066,246,117,51,18604.0,19018.0,0.2211077714064448,2.1786177131737716,36323.0
1,22,ANTIOQUIA,ANGELOPOLIS,2955,2899,1619,3,19,0,544,1,4,5,17,410,7,85,131,6,65,39,1619,544,1075,ABELARDO DE LA ESPRIELLA,1075,0.370817523283891,65,39,17,3031.0,3152.0,0.2093513435838211,1.6865573812843582,5986.0
1,25,ANTIOQUIA,ANGOSTURA,3667,3478,1816,3,33,2,559,0,21,31,73,600,11,76,178,20,128,116,1816,559,1257,ABELARDO DE LA ESPRIELLA,1257,0.3614146060954571,128,116,73,5795.0,6112.0,0.21955249043318875,1.9140965788150168,9462.0
1,28,ANTIOQUIA,ANORI,3813,3758,1811,5,10,2,1275,0,14,14,29,215,8,99,152,10,143,26,1811,1275,536,ABELARDO DE LA ESPRIELLA,536,0.1426290580095795,143,26,29,9890.0,10088.0,0.5393408274227517,4.972291495736916,13703.0
1,31,ANTIOQUIA,ANTIOQUIA,12290,12060,5907,9,57,2,3261,9,19,38,70,1673,5,174,574,14,318,160,5907,3261,2646,ABELARDO DE LA ESPRIELLA,2646,0.2194029850746268,318,160,70,12148.0,12696.0,0.4096604227938045,3.8709309137502577,24438.0
1,34,ANTIOQUIA,ANZA,2953,2901,1811,1,11,0,400,5,10,12,29,463,7,60,65,9,47,23,1811,400,1411,ABELARDO DE LA ESPRIELLA,1411,0.4863840055153395,47,23,29,3736.0,3835.0,0.1606247450533082,1.3255051817906576,6689.0
1,35,ANTIOQUIA,APARTADO,54916,54380,16661,26,164,7,32102,32,101,38,133,2067,25,340,1385,43,1389,403,16661,32102,-15441,IVAN CEPEDA,15441,0.2839463037881574,1389,403,133,54897.0,56822.0,0.3709442835855221,4.060985417419404,109813.0
1,37,ANTIOQUIA,ARBOLETES,9852,9773,4837,6,18,11,4120,3,27,9,37,414,6,59,157,13,93,42,4837,4120,717,ABELARDO DE LA ESPRIELLA,717,0.0733653944541082,93,42,37,13599.0,13771.0,1.1020737247141217,10.503195518039622,23451.0
1,39,ANTIOQUIA,ARGELIA,3202,3164,1946,2,8,2,334,10,8,9,20,670,15,52,56,11,41,18,1946,334,1612,ABELARDO DE LA ESPRIELLA,1612,0.5094816687737042,41,18,20,3625.0,3704.0,0.15515289218202077,1.2749593554568341,6827.0
1,40,ANTIOQUIA,ARMENIA,2305,2256,1311,0,9,0,400,1,4,6,25,399,1,32,55,5,33,24,1311,400,911,ABELARDO DE LA ESPRIELLA,911,0.4038120567375886,33,24,25,2281.0,2363.0,0.18660142088885945,1.4495404342544453,4586.0
1,43,ANTIOQUIA,BARBOSA,24555,23983,11617,10,141,8,6929,15,36,51,105,2731,28,332,1365,36,684,467,11617,6929,4688,ABELARDO DE LA ESPRIELLA,4688,0.1954717925197014,684,467,105,22427.0,23683.0,0.4908285510467515,4.9438975728727685,46982.0
1,46,ANTIOQUIA,BELMIRA,2771,2729,1611,2,25,0,351,1,3,16,16,448,6,34,159,4,69,26,1611,351,1260,ABELARDO DE LA ESPRIELLA,1260,0.4617075851960425,69,26,16,2648.0,2759.0,0.16773223786280098,1.3289401654101785,5419.0
1,49,ANTIOQUIA,BELLO,228294,225626,116690,77,1154,31,63055,119,293,270,345,18571,93,2176,18325,145,4627,2323,116690,63055,53635,ABELARDO DE LA ESPRIELLA,53635,0.2377163979328623,4627,2323,345,151301.0,158596.0,0.4976109201957945,5.9584537039857794,379595.0
1,52,ANTIOQUIA,BETANIA,3661,3617,2365,1,10,2,494,3,5,10,18,477,7,70,117,3,53,26,2365,494,1871,ABELARDO DE LA ESPRIELLA,1871,0.5172795134089024,53,26,18,4745.0,4842.0,0.15539531610061036,1.3185742661864848,8406.0
1,55,ANTIOQUIA,BETULIA,5703,5591,3581,3,12,2,605,4,17,16,52,960,10,132,147,12,90,60,3581,605,2976,ABELARDO DE LA ESPRIELLA,2976,0.5322840279019854,90,60,52,8108.0,8310.0,0.1591249574009822,1.4361560820227097,13811.0
1,58,ANTIOQUIA,BOLIVAR,11908,11749,7523,7,31,2,1642,8,13,18,48,1791,7,179,333,16,179,111,7523,1642,5881,ABELARDO DE LA ESPRIELLA,5881,0.5005532385734957,179,111,48,11979.0,12317.0,0.18355790956799964,1.7288983382432725,23887.0
1,61,ANTIOQUIA,BURITICA,3527,3470,1749,1,13,0,1075,1,2,7,22,360,3,53,97,2,107,35,1749,1075,674,ABELARDO DE LA ESPRIELLA,674,0.194236311239193,107,35,22,5029.0,5193.0,0.3991551730639257,3.4148760433094245,8556.0
1,62,ANTIOQUIA,BRICEÑO,1888,1816,1022,2,16,4,437,1,10,6,22,131,4,52,62,11,58,50,1022,437,585,ABELARDO DE LA ESPRIELLA,585,0.3221365638766519,58,50,22,4945.0,5075.0,0.22595952643092132,1.9279496835399694,6833.0
1,64,ANTIOQUIA,CACERES,6491,6365,2099,8,42,0,3635,7,21,14,37,197,15,95,68,12,152,89,2099,3635,-1536,IVAN CEPEDA,1536,0.2413197172034564,152,89,37,14590.0,14868.0,0.34850932928399697,3.3481409017590558,21081.0
1,67,ANTIOQUIA,CAICEDO,3096,3008,1363,2,4,0,493,4,5,21,30,832,6,59,133,15,71,58,1363,493,870,ABELARDO DE LA ESPRIELLA,870,0.2892287234042553,71,58,30,4199.0,4358.0,0.2676669199904806,2.243048241402185,7295.0
1,70,ANTIOQUIA,CALDAS,47528,46595,22385,19,228,8,13435,29,71,55,121,4339,34,512,4322,34,1124,812,22385,13435,8950,ABELARDO DE LA ESPRIELLA,8950,0.1920806953535787,1124,812,121,25698.0,27755.0,0.5319295819282377,5.442281828103629,73226.0
1,73,ANTIOQUIA,CAMPAMENTO,2074,2031,1131,1,20,3,426,4,9,8,14,220,2,45,91,7,64,29,1131,426,705,ABELARDO DE LA ESPRIELLA,705,0.3471196454948301,64,29,14,5122.0,5229.0,0.21328358450133594,1.8261695743869992,7196.0
1,76,ANTIOQUIA,CAÑASGORDAS,7586,7497,4258,3,12,3,1044,4,13,8,39,1777,6,86,168,5,110,50,4258,1044,3214,ABELARDO DE LA ESPRIELLA,3214,0.4287048152594371,110,50,39,7362.0,7561.0,0.20338029779817707,1.8163672680206744,14948.0
1,78,ANTIOQUIA,CARACOLI,1991,1965,1129,1,13,0,445,2,3,6,11,248,4,43,41,1,29,15,1129,445,684,ABELARDO DE LA ESPRIELLA,684,0.3480916030534351,29,15,11,2864.0,2919.0,0.21178257842520393,1.689884965367174,4855.0
