departamento_nombre,potencial_mayo_2026,sufragantes_mayo_2026,votos_validos_mayo_2026,votos_candidatos_mayo_2026,votos_blanco_mayo_2026,votos_nulos_mayo_2026,votos_no_marcados_mayo_2026,potencial_junio_2026_proy,sufragantes_junio_2026_proy,votos_validos_junio_2026_proy,votos_candidatos_junio_2026_proy,votos_blanco_junio_2026_proy,votos_nulos_junio_2026_proy,votos_no_marcados_junio_2026_proy,ratio_sufragantes_proy,ratio_validos_sufragantes_proy,ratio_candidatos_validos_proy,ratio_nulos_invalidos_proy
AMAZONAS,57274,25557,25227,24748,479,229,101,57274,26088,25330,24430,900,457,301,0.4554897843297213,0.9709626648949887,0.9644585330162856,0.6031402147662177
ANTIOQUIA,5448240,3209520,3170236,3109697,60539,31097,8187,5448240,3071254,3071254,2923172,148082,0,0,0.5637148048137407,1.0,0.9517844955964486,0.7219621391772503
ARAUCA,220805,100729,98687,96108,2579,1660,382,220805,110062,107724,102786,4938,1698,640,0.49845813401554245,0.9787540257570523,0.9541589877398968,0.7263858487601574
ATLANTICO,2129515,1060147,1053684,1041351,12333,4735,1728,2129515,1162535,1159873,1128414,31459,1877,785,0.5459154340282386,0.9977104382861272,0.9728773580913496,0.7050105101443054
BOGOTA D.C.,6076599,4130084,4094508,4024364,70144,33279,2297,6076599,3910550,3910550,3743896,166654,0,0,0.6435425638331851,1.0,0.95738355878137,0.8578296316405049
BOLIVAR,1791159,827020,820699,807418,13281,4542,1779,1791159,898822,892065,868841,23224,5017,1740,0.5018101975517388,0.9924828736951378,0.9739656456507207,0.7424583034384536
BOYACA,1039293,677633,669162,658822,10340,7362,1109,1039293,636387,633511,611396,22115,2358,518,0.6123270634088416,0.9954809516048453,0.9650910614363907,0.8199054476580074
CALDAS,828671,502807,491259,481427,9832,9719,1829,828671,479949,470989,448519,22470,7011,1949,0.5791796512915599,0.9813321237630708,0.952291621401427,0.7825322242659601
CAQUETA,327418,174993,171296,166351,4945,2707,990,327418,173656,169374,162209,7165,3057,1225,0.5303803929277826,0.9753440926905526,0.957695385086751,0.7139303103482316
CASANARE,328773,222503,218942,215037,3905,3063,498,328773,208331,205584,198666,6918,2392,355,0.6336633161951569,0.9868159584924712,0.9663472486510483,0.8707195152396114
CAUCA,1075975,696829,677203,660770,16433,15568,4058,1075975,624909,617007,596903,20104,5649,2253,0.5807836602386524,0.9873542517982674,0.967416951884271,0.7148326438168608
CESAR,929139,488601,482856,475751,7105,4679,1066,929139,518253,511084,498904,12180,5967,1202,0.5577776829431911,0.9861668564579881,0.9761688712506442,0.8323705832590808
CHOCO,361794,147256,144225,141964,2261,2451,580,361794,169400,164071,160846,3225,4224,1105,0.4682225909293893,0.968540285402169,0.9803430050993195,0.7926333508434876
CONSULADOS,1414661,589829,588573,584044,4529,1011,245,1414661,427751,427751,419696,8055,0,0,0.30237030116667685,1.0,0.9811681934199153,0.7618760337808644
CORDOBA,1394973,711571,705432,695827,9605,4168,1971,1394973,792423,786218,771742,14476,4638,1567,0.5680564312774525,0.992168964914016,0.9815873799099182,0.7474646997818978
CUNDINAMARCA,2335305,1625534,1601011,1571134,29877,22430,2093,2335305,1533745,1532147,1463905,68242,1387,211,0.6567641818495339,0.9989583883536821,0.955459610392173,0.8682251488104417
GUAINIA,36900,12134,12009,11762,247,82,43,36900,15351,14877,14458,419,280,194,0.41601587640742116,0.9690947652407965,0.9718074060835671,0.5905896233847815
GUAVIARE,69304,34951,34074,32961,1113,725,152,69304,38223,36833,35099,1734,1043,347,0.5515288951545709,0.9636439493530623,0.9529165690749485,0.7500218901248271
HUILA,937739,555856,548675,538672,10003,5939,1242,937739,533080,527126,508379,18747,4713,1241,0.568473563097771,0.9888303536863888,0.9644356024067885,0.79164844359072
LA GUAJIRA,708846,257464,254192,250376,3816,2534,738,708846,298216,292894,287508,5386,4082,1240,0.42070648718590004,0.9821545797343856,0.981611739916447,0.766940989241247
MAGDALENA,1089418,507993,503190,495634,7556,3712,1091,1089418,559349,553604,542041,11563,4451,1294,0.5134385948753901,0.9897300165224647,0.9791127707648477,0.7747756507968406
META,854033,546955,536993,527444,9549,9000,962,854033,540495,533144,510446,22698,6244,1107,0.6328742229239966,0.9863992327809625,0.9574259041695423,0.8494192929358357
NARIÑO,1225565,701088,689794,676907,12887,8986,2308,1225565,699233,693204,672332,20872,4559,1470,0.5705397086434708,0.9913770428688801,0.9698909956233234,0.7562308677349103
NORTE DE SAN,1369050,741716,735200,726503,8697,5426,1090,1369050,665109,665109,646731,18378,0,0,0.4858181638608637,1.0,0.9723688383255851,0.8068551578339217
PUTUMAYO,263450,134494,132301,129364,2937,1702,491,263450,138446,136440,131765,4675,1339,667,0.5255128846846407,0.9855141601881592,0.9657346095560234,0.6673705009369544
QUINDIO,504934,298948,293554,287953,5601,4728,666,504934,281072,275510,260876,14634,4591,971,0.5566515486450203,0.9802127815939329,0.9468840289412614,0.8254823328132239
RISARALDA,878829,515679,505941,495484,10457,8216,1522,878829,497547,493037,470391,22646,3505,1005,0.566148221761605,0.9909360494564189,0.9540680226698738,0.7770883942006502
SAN ANDRES,53790,18117,18000,17331,669,86,31,53790,18462,18372,17352,1020,56,34,0.3432319394310352,0.9951128521394388,0.9444564016319376,0.6220339355422139
SANTANDER,1861932,1210680,1199031,1181043,17988,10100,1549,1861932,1171009,1170375,1134741,35634,516,118,0.6289215388269187,0.9994585799708116,0.9695530163474595,0.813399147736567
SUCRE,761233,404305,400478,395445,5033,2682,1145,761233,454087,451962,444337,7625,1583,542,0.5965155760324897,0.9953199937967849,0.9831297953830025,0.74481768861166
