territorio,escenario,indicador,valor
COLOMBIA,Mayo 2026 - Primera vuelta,Potencial,41421973
COLOMBIA,Junio 2026 - Segunda vuelta proyectada,Potencial,41421973
COLOMBIA,Mayo 2026 - Primera vuelta,Sufragantes,23978304
COLOMBIA,Junio 2026 - Segunda vuelta proyectada,Sufragantes,23451315
COLOMBIA,Mayo 2026 - Primera vuelta,Votos válidos,23685329
COLOMBIA,Junio 2026 - Segunda vuelta proyectada,Votos válidos,23334478
COLOMBIA,Mayo 2026 - Primera vuelta,Votos por candidatos,23278359
COLOMBIA,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,22495344
COLOMBIA,Mayo 2026 - Primera vuelta,Voto en blanco,406970
COLOMBIA,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,839134
COLOMBIA,Mayo 2026 - Primera vuelta,Votos nulos,245389
COLOMBIA,Junio 2026 - Segunda vuelta proyectada,Votos nulos,90359
COLOMBIA,Mayo 2026 - Primera vuelta,Votos no marcados,47586
COLOMBIA,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,26478
AMAZONAS,Mayo 2026 - Primera vuelta,Potencial,57274
AMAZONAS,Junio 2026 - Segunda vuelta proyectada,Potencial,57274
AMAZONAS,Mayo 2026 - Primera vuelta,Sufragantes,25557
AMAZONAS,Junio 2026 - Segunda vuelta proyectada,Sufragantes,26088
AMAZONAS,Mayo 2026 - Primera vuelta,Votos válidos,25227
AMAZONAS,Junio 2026 - Segunda vuelta proyectada,Votos válidos,25330
AMAZONAS,Mayo 2026 - Primera vuelta,Votos por candidatos,24748
AMAZONAS,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,24430
AMAZONAS,Mayo 2026 - Primera vuelta,Voto en blanco,479
AMAZONAS,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,900
AMAZONAS,Mayo 2026 - Primera vuelta,Votos nulos,229
AMAZONAS,Junio 2026 - Segunda vuelta proyectada,Votos nulos,457
AMAZONAS,Mayo 2026 - Primera vuelta,Votos no marcados,101
AMAZONAS,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,301
ANTIOQUIA,Mayo 2026 - Primera vuelta,Potencial,5448240
ANTIOQUIA,Junio 2026 - Segunda vuelta proyectada,Potencial,5448240
ANTIOQUIA,Mayo 2026 - Primera vuelta,Sufragantes,3209520
ANTIOQUIA,Junio 2026 - Segunda vuelta proyectada,Sufragantes,3071254
ANTIOQUIA,Mayo 2026 - Primera vuelta,Votos válidos,3170236
ANTIOQUIA,Junio 2026 - Segunda vuelta proyectada,Votos válidos,3071254
ANTIOQUIA,Mayo 2026 - Primera vuelta,Votos por candidatos,3109697
ANTIOQUIA,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,2923172
ANTIOQUIA,Mayo 2026 - Primera vuelta,Voto en blanco,60539
ANTIOQUIA,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,148082
ANTIOQUIA,Mayo 2026 - Primera vuelta,Votos nulos,31097
ANTIOQUIA,Junio 2026 - Segunda vuelta proyectada,Votos nulos,0
ANTIOQUIA,Mayo 2026 - Primera vuelta,Votos no marcados,8187
ANTIOQUIA,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,0
ARAUCA,Mayo 2026 - Primera vuelta,Potencial,220805
ARAUCA,Junio 2026 - Segunda vuelta proyectada,Potencial,220805
ARAUCA,Mayo 2026 - Primera vuelta,Sufragantes,100729
ARAUCA,Junio 2026 - Segunda vuelta proyectada,Sufragantes,110062
ARAUCA,Mayo 2026 - Primera vuelta,Votos válidos,98687
ARAUCA,Junio 2026 - Segunda vuelta proyectada,Votos válidos,107724
ARAUCA,Mayo 2026 - Primera vuelta,Votos por candidatos,96108
ARAUCA,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,102786
ARAUCA,Mayo 2026 - Primera vuelta,Voto en blanco,2579
ARAUCA,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,4938
ARAUCA,Mayo 2026 - Primera vuelta,Votos nulos,1660
ARAUCA,Junio 2026 - Segunda vuelta proyectada,Votos nulos,1698
ARAUCA,Mayo 2026 - Primera vuelta,Votos no marcados,382
ARAUCA,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,640
ATLANTICO,Mayo 2026 - Primera vuelta,Potencial,2129515
ATLANTICO,Junio 2026 - Segunda vuelta proyectada,Potencial,2129515
ATLANTICO,Mayo 2026 - Primera vuelta,Sufragantes,1060147
ATLANTICO,Junio 2026 - Segunda vuelta proyectada,Sufragantes,1162535
ATLANTICO,Mayo 2026 - Primera vuelta,Votos válidos,1053684
ATLANTICO,Junio 2026 - Segunda vuelta proyectada,Votos válidos,1159873
ATLANTICO,Mayo 2026 - Primera vuelta,Votos por candidatos,1041351
ATLANTICO,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,1128414
ATLANTICO,Mayo 2026 - Primera vuelta,Voto en blanco,12333
ATLANTICO,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,31459
ATLANTICO,Mayo 2026 - Primera vuelta,Votos nulos,4735
ATLANTICO,Junio 2026 - Segunda vuelta proyectada,Votos nulos,1877
ATLANTICO,Mayo 2026 - Primera vuelta,Votos no marcados,1728
ATLANTICO,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,785
BOGOTA D.C.,Mayo 2026 - Primera vuelta,Potencial,6076599
BOGOTA D.C.,Junio 2026 - Segunda vuelta proyectada,Potencial,6076599
BOGOTA D.C.,Mayo 2026 - Primera vuelta,Sufragantes,4130084
BOGOTA D.C.,Junio 2026 - Segunda vuelta proyectada,Sufragantes,3910550
BOGOTA D.C.,Mayo 2026 - Primera vuelta,Votos válidos,4094508
BOGOTA D.C.,Junio 2026 - Segunda vuelta proyectada,Votos válidos,3910550
BOGOTA D.C.,Mayo 2026 - Primera vuelta,Votos por candidatos,4024364
BOGOTA D.C.,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,3743896
BOGOTA D.C.,Mayo 2026 - Primera vuelta,Voto en blanco,70144
BOGOTA D.C.,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,166654
BOGOTA D.C.,Mayo 2026 - Primera vuelta,Votos nulos,33279
BOGOTA D.C.,Junio 2026 - Segunda vuelta proyectada,Votos nulos,0
BOGOTA D.C.,Mayo 2026 - Primera vuelta,Votos no marcados,2297
BOGOTA D.C.,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,0
BOLIVAR,Mayo 2026 - Primera vuelta,Potencial,1791159
BOLIVAR,Junio 2026 - Segunda vuelta proyectada,Potencial,1791159
BOLIVAR,Mayo 2026 - Primera vuelta,Sufragantes,827020
