territorio,indicador,periodo_fecha,periodo_label,tipo_eleccion,anio,valor,fuente,orden
AMAZONAS,Potencial,2006-03-01,CONGRESO 2006,Congreso,2006,30244,Histórico 2006-2026,1
AMAZONAS,Sufragantes,2006-03-01,CONGRESO 2006,Congreso,2006,15449,Histórico 2006-2026,1
AMAZONAS,Votos válidos,2006-03-01,CONGRESO 2006,Congreso,2006,13817,Histórico 2006-2026,1
AMAZONAS,Votos por candidatos,2006-03-01,CONGRESO 2006,Congreso,2006,13553,Histórico 2006-2026,1
AMAZONAS,Voto en blanco,2006-03-01,CONGRESO 2006,Congreso,2006,264,Histórico 2006-2026,1
AMAZONAS,Votos nulos,2006-03-01,CONGRESO 2006,Congreso,2006,1179,Histórico 2006-2026,1
AMAZONAS,Votos no marcados,2006-03-01,CONGRESO 2006,Congreso,2006,453,Histórico 2006-2026,1
ANTIOQUIA,Potencial,2006-03-01,CONGRESO 2006,Congreso,2006,3383364,Histórico 2006-2026,1
ANTIOQUIA,Sufragantes,2006-03-01,CONGRESO 2006,Congreso,2006,1214323,Histórico 2006-2026,1
ANTIOQUIA,Votos válidos,2006-03-01,CONGRESO 2006,Congreso,2006,971868,Histórico 2006-2026,1
ANTIOQUIA,Votos por candidatos,2006-03-01,CONGRESO 2006,Congreso,2006,943147,Histórico 2006-2026,1
ANTIOQUIA,Voto en blanco,2006-03-01,CONGRESO 2006,Congreso,2006,28721,Histórico 2006-2026,1
ANTIOQUIA,Votos nulos,2006-03-01,CONGRESO 2006,Congreso,2006,203096,Histórico 2006-2026,1
ANTIOQUIA,Votos no marcados,2006-03-01,CONGRESO 2006,Congreso,2006,39359,Histórico 2006-2026,1
ARAUCA,Potencial,2006-03-01,CONGRESO 2006,Congreso,2006,123113,Histórico 2006-2026,1
ARAUCA,Sufragantes,2006-03-01,CONGRESO 2006,Congreso,2006,40884,Histórico 2006-2026,1
ARAUCA,Votos válidos,2006-03-01,CONGRESO 2006,Congreso,2006,34762,Histórico 2006-2026,1
ARAUCA,Votos por candidatos,2006-03-01,CONGRESO 2006,Congreso,2006,33755,Histórico 2006-2026,1
ARAUCA,Voto en blanco,2006-03-01,CONGRESO 2006,Congreso,2006,1007,Histórico 2006-2026,1
ARAUCA,Votos nulos,2006-03-01,CONGRESO 2006,Congreso,2006,4601,Histórico 2006-2026,1
ARAUCA,Votos no marcados,2006-03-01,CONGRESO 2006,Congreso,2006,1521,Histórico 2006-2026,1
ATLANTICO,Potencial,2006-03-01,CONGRESO 2006,Congreso,2006,1423301,Histórico 2006-2026,1
ATLANTICO,Sufragantes,2006-03-01,CONGRESO 2006,Congreso,2006,611109,Histórico 2006-2026,1
ATLANTICO,Votos válidos,2006-03-01,CONGRESO 2006,Congreso,2006,516915,Histórico 2006-2026,1
ATLANTICO,Votos por candidatos,2006-03-01,CONGRESO 2006,Congreso,2006,506117,Histórico 2006-2026,1
ATLANTICO,Voto en blanco,2006-03-01,CONGRESO 2006,Congreso,2006,10798,Histórico 2006-2026,1
ATLANTICO,Votos nulos,2006-03-01,CONGRESO 2006,Congreso,2006,76137,Histórico 2006-2026,1
ATLANTICO,Votos no marcados,2006-03-01,CONGRESO 2006,Congreso,2006,18057,Histórico 2006-2026,1
BOGOTA D.C.,Potencial,2006-03-01,CONGRESO 2006,Congreso,2006,4208113,Histórico 2006-2026,1
BOGOTA D.C.,Sufragantes,2006-03-01,CONGRESO 2006,Congreso,2006,1575906,Histórico 2006-2026,1
