departamento,partido,candidato,votos,codigo_candidato,nombre_candidato,tipo_registro,estado_primera_vuelta,bloque_referencia_2v,departamento_nombre,municipios,puestos,mesas,total_votos_mmv,votos_validos,pct_validos,pct_total_mmv,abstencion_estimada_depto,potencial
1,0,996,60539,996,VOTO EN BLANCO,VOTO_EN_BLANCO,NO_APLICA,INDEFINIDO,ANTIOQUIA,125,707,15471,3209520,3170236,0.0190960546785791,0.0188623220917769,2238720,5448240
1,0,997,31097,997,VOTO NULO,VOTO_NULO,NO_APLICA,INDEFINIDO,ANTIOQUIA,125,707,15471,3209520,3170236,,0.0096889877614098,2238720,5448240
1,0,998,8187,998,NO MARCADOS,NO_MARCADO,NO_APLICA,INDEFINIDO,ANTIOQUIA,125,707,15471,3209520,3170236,,0.0025508487250429,2238720,5448240
1,9,11,294322,11,PALOMA VALENCIA,CANDIDATO,ELIMINADO,ABELARDO,ANTIOQUIA,125,707,15471,3209520,3170236,0.092839145098346,0.0917028091428001,2238720,5448240
1,15,12,225072,12,SERGIO FAJARDO,CANDIDATO,ELIMINADO,DIVIDIDO,ANTIOQUIA,125,707,15471,3209520,3170236,0.0709953454569312,0.0701263740372392,2238720,5448240
1,20,6,4414,6,MIGUEL URIBE,CANDIDATO,ELIMINADO,ABELARDO,ANTIOQUIA,125,707,15471,3209520,3170236,0.0013923253663134,0.0013752835314938,2238720,5448240
1,21,10,755,10,GUSTAVO MATAMORROS,CANDIDATO,ELIMINADO,INCIERTO,ANTIOQUIA,125,707,15471,3209520,3170236,0.0002381526170291,0.0002352376679378,2238720,5448240
1,22,8,1948,8,ROY BARRERAS,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,125,707,15471,3209520,3170236,0.0006144652953281,0.0006069443405867,2238720,5448240
1,26,1,805652,1,IVAN CEPEDA,CANDIDATO,PASA_A_SEGUNDA,CEPEDA,ANTIOQUIA,125,707,15471,3209520,3170236,0.2541299764433941,0.2510194670854209,2238720,5448240
1,1001,3,30271,3,SANTIAGO BOTERO,CANDIDATO,ELIMINADO,INCIERTO,ANTIOQUIA,125,707,15471,3209520,3170236,0.0095485004901843,0.0094316284054936,2238720,5448240
1,1002,7,2783,7,SONDRA MACOLLINS,CANDIDATO,ELIMINADO,INCIERTO,ANTIOQUIA,125,707,15471,3209520,3170236,0.0008778526267445,0.0008671078541339,2238720,5448240
1,1003,4,1723406,4,ABELARDO DE LA ESPRIELLA,CANDIDATO,PASA_A_SEGUNDA,ABELARDO,ANTIOQUIA,125,707,15471,3209520,3170236,0.5436207272897033,0.5369668984770308,2238720,5448240
1,1004,2,13482,2,CLAUDIA LOPEZ,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,125,707,15471,3209520,3170236,0.0042526802421018,0.0042006281313093,2238720,5448240
1,1005,13,1768,13,LUIS GILBERTO MURILLO,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,125,707,15471,3209520,3170236,0.0005576871879569,0.0005508611879658,2238720,5448240
1,1006,9,1282,9,CARLOS CAICEDO,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,125,707,15471,3209520,3170236,0.0004043862980547,0.0003994366758892,2238720,5448240
1,3001,5,4542,5,MAURICIO LIZCANO,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,125,707,15471,3209520,3170236,0.0014327009093329,0.0014151648844687,2238720,5448240
3,0,996,12333,996,VOTO EN BLANCO,VOTO_EN_BLANCO,NO_APLICA,INDEFINIDO,ATLANTICO,23,99,6190,1060147,1053684,0.0117046476932363,0.0116332923641721,1069368,2129515
3,0,997,4735,997,VOTO NULO,VOTO_NULO,NO_APLICA,INDEFINIDO,ATLANTICO,23,99,6190,1060147,1053684,,0.0044663617404001,1069368,2129515
3,0,998,1728,998,NO MARCADOS,NO_MARCADO,NO_APLICA,INDEFINIDO,ATLANTICO,23,99,6190,1060147,1053684,,0.0016299626372569,1069368,2129515
3,9,11,20940,11,PALOMA VALENCIA,CANDIDATO,ELIMINADO,ABELARDO,ATLANTICO,23,99,6190,1060147,1053684,0.0198731308437823,0.019751977791759,1069368,2129515
3,15,12,27808,12,SERGIO FAJARDO,CANDIDATO,ELIMINADO,DIVIDIDO,ATLANTICO,23,99,6190,1060147,1053684,0.0263912140641786,0.0262303246625232,1069368,2129515
3,20,6,606,6,MIGUEL URIBE,CANDIDATO,ELIMINADO,ABELARDO,ATLANTICO,23,99,6190,1060147,1053684,0.0005751249900349,0.000571618841538,1069368,2129515
3,21,10,230,10,GUSTAVO MATAMORROS,CANDIDATO,ELIMINADO,INCIERTO,ATLANTICO,23,99,6190,1060147,1053684,0.0002182817618944,0.0002169510454682,1069368,2129515
3,22,8,305,8,ROY BARRERAS,CANDIDATO,ELIMINADO,CEPEDA,ATLANTICO,23,99,6190,1060147,1053684,0.0002894605972948,0.0002876959515991,1069368,2129515
3,26,1,549193,1,IVAN CEPEDA,CANDIDATO,PASA_A_SEGUNDA,CEPEDA,ATLANTICO,23,99,6190,1060147,1053684,0.5212122420004479,0.5180347631036073,1069368,2129515
3,1001,3,3296,3,SANTIAGO BOTERO,CANDIDATO,ELIMINADO,INCIERTO,ATLANTICO,23,99,6190,1060147,1053684,0.0031280725530614,0.0031090028081011,1069368,2129515
3,1002,7,508,7,SONDRA MACOLLINS,CANDIDATO,ELIMINADO,INCIERTO,ATLANTICO,23,99,6190,1060147,1053684,0.0004821179784451,0.0004791788308602,1069368,2129515
3,1003,4,432784,4,ABELARDO DE LA ESPRIELLA,CANDIDATO,PASA_A_SEGUNDA,ABELARDO,ATLANTICO,23,99,6190,1060147,1053684,0.4107341479988308,0.4082301793996493,1069368,2129515
3,1004,2,2684,2,CLAUDIA LOPEZ,CANDIDATO,ELIMINADO,CEPEDA,ATLANTICO,23,99,6190,1060147,1053684,0.0025472532561944,0.0025317243740726,1069368,2129515
3,1005,13,308,13,LUIS GILBERTO MURILLO,CANDIDATO,ELIMINADO,CEPEDA,ATLANTICO,23,99,6190,1060147,1053684,0.0002923077507108,0.0002905257478444,1069368,2129515
3,1006,9,625,9,CARLOS CAICEDO,CANDIDATO,ELIMINADO,CEPEDA,ATLANTICO,23,99,6190,1060147,1053684,0.0005931569616697,0.0005895408844245,1069368,2129515
3,3001,5,2064,5,MAURICIO LIZCANO,CANDIDATO,ELIMINADO,CEPEDA,ATLANTICO,23,99,6190,1060147,1053684,0.001958841550218,0.0019468998167235,1069368,2129515
5,0,996,13281,996,VOTO EN BLANCO,VOTO_EN_BLANCO,NO_APLICA,INDEFINIDO,BOLIVAR,46,476,5355,827020,820699,0.0161825468289835,0.0160588619380426,964139,1791159
5,0,997,4542,997,VOTO NULO,VOTO_NULO,NO_APLICA,INDEFINIDO,BOLIVAR,46,476,5355,827020,820699,,0.0054920074484293,964139,1791159
5,0,998,1779,998,NO MARCADOS,NO_MARCADO,NO_APLICA,INDEFINIDO,BOLIVAR,46,476,5355,827020,820699,,0.0021510967086648,964139,1791159
5,9,11,23822,11,PALOMA VALENCIA,CANDIDATO,ELIMINADO,ABELARDO,BOLIVAR,46,476,5355,827020,820699,0.0290264762111322,0.0288046238301371,964139,1791159
5,15,12,15690,12,SERGIO FAJARDO,CANDIDATO,ELIMINADO,DIVIDIDO,BOLIVAR,46,476,5355,827020,820699,0.0191178495404527,0.0189717298251553,964139,1791159
5,20,6,912,6,MIGUEL URIBE,CANDIDATO,ELIMINADO,ABELARDO,BOLIVAR,46,476,5355,827020,820699,0.0011112478509173,0.0011027544678484,964139,1791159
5,21,10,189,10,GUSTAVO MATAMORROS,CANDIDATO,ELIMINADO,INCIERTO,BOLIVAR,46,476,5355,827020,820699,0.0002302914954203,0.0002285313535343,964139,1791159
5,22,8,431,8,ROY BARRERAS,CANDIDATO,ELIMINADO,CEPEDA,BOLIVAR,46,476,5355,827020,820699,0.00052516208744,0.0005211482189064,964139,1791159
5,26,1,443226,1,IVAN CEPEDA,CANDIDATO,PASA_A_SEGUNDA,CEPEDA,BOLIVAR,46,476,5355,827020,820699,0.5400591447046968,0.5359314164107277,964139,1791159
5,1001,3,4167,3,SANTIAGO BOTERO,CANDIDATO,ELIMINADO,INCIERTO,BOLIVAR,46,476,5355,827020,820699,0.0050773791609347,0.0050385722231626,964139,1791159
5,1002,7,569,7,SONDRA MACOLLINS,CANDIDATO,ELIMINADO,INCIERTO,BOLIVAR,46,476,5355,827020,820699,0.0006933114333025,0.0006880123818045,964139,1791159
5,1003,4,312574,4,ABELARDO DE LA ESPRIELLA,CANDIDATO,PASA_A_SEGUNDA,ABELARDO,BOLIVAR,46,476,5355,827020,820699,0.3808631422726237,0.3779521656066358,964139,1791159
5,1004,2,2343,2,CLAUDIA LOPEZ,CANDIDATO,ELIMINADO,CEPEDA,BOLIVAR,46,476,5355,827020,820699,0.0028548834591001,0.0028330632874658,964139,1791159
5,1005,13,332,13,LUIS GILBERTO MURILLO,CANDIDATO,ELIMINADO,CEPEDA,BOLIVAR,46,476,5355,827020,820699,0.0004045332088865,0.000401441319436,964139,1791159
5,1006,9,532,9,CARLOS CAICEDO,CANDIDATO,ELIMINADO,CEPEDA,BOLIVAR,46,476,5355,827020,820699,0.0006482279130351,0.0006432734395782,964139,1791159
5,3001,5,2631,5,MAURICIO LIZCANO,CANDIDATO,ELIMINADO,CEPEDA,BOLIVAR,46,476,5355,827020,820699,0.003205803833074,0.0031813015404706,964139,1791159
7,0,996,10340,996,VOTO EN BLANCO,VOTO_EN_BLANCO,NO_APLICA,INDEFINIDO,BOYACA,123,351,3126,677633,669162,0.0154521625555545,0.0152589971267633,361660,1039293
7,0,997,7362,997,VOTO NULO,VOTO_NULO,NO_APLICA,INDEFINIDO,BOYACA,123,351,3126,677633,669162,,0.0108642878962506,361660,1039293
7,0,998,1109,998,NO MARCADOS,NO_MARCADO,NO_APLICA,INDEFINIDO,BOYACA,123,351,3126,677633,669162,,0.0016365790922224,361660,1039293
7,9,11,57602,11,PALOMA VALENCIA,CANDIDATO,ELIMINADO,ABELARDO,BOYACA,123,351,3126,677633,669162,0.0860807995672199,0.0850047149415686,361660,1039293
7,15,12,28853,12,SERGIO FAJARDO,CANDIDATO,ELIMINADO,DIVIDIDO,BOYACA,123,351,3126,677633,669162,0.0431181089183187,0.0425790951739363,361660,1039293
7,20,6,937,6,MIGUEL URIBE,CANDIDATO,ELIMINADO,ABELARDO,BOYACA,123,351,3126,677633,669162,0.0014002588311948,0.0013827543817966,361660,1039293
7,21,10,151,10,GUSTAVO MATAMORROS,CANDIDATO,ELIMINADO,INCIERTO,BOYACA,123,351,3126,677633,669162,0.0002256553719428,0.0002228344841529,361660,1039293
7,22,8,436,8,ROY BARRERAS,CANDIDATO,ELIMINADO,CEPEDA,BOYACA,123,351,3126,677633,669162,0.0006515612064044,0.0006434161264283,361660,1039293
7,26,1,216425,1,IVAN CEPEDA,CANDIDATO,PASA_A_SEGUNDA,CEPEDA,BOYACA,123,351,3126,677633,669162,0.3234269130643999,0.3193837962436894,361660,1039293
7,1001,3,6083,3,SANTIAGO BOTERO,CANDIDATO,ELIMINADO,INCIERTO,BOYACA,123,351,3126,677633,669162,0.0090904743544911,0.0089768355437235,361660,1039293
7,1002,7,670,7,SONDRA MACOLLINS,CANDIDATO,ELIMINADO,INCIERTO,BOYACA,123,351,3126,677633,669162,0.0010012523125939,0.0009887357906123,361660,1039293
7,1003,4,337768,4,ABELARDO DE LA ESPRIELLA,CANDIDATO,PASA_A_SEGUNDA,ABELARDO,BOYACA,123,351,3126,677633,669162,0.5047626733137865,0.4984527022739447,361660,1039293
7,1004,2,8175,2,CLAUDIA LOPEZ,CANDIDATO,ELIMINADO,CEPEDA,BOYACA,123,351,3126,677633,669162,0.012216772620083,0.0120640523705309,361660,1039293
7,1005,13,311,13,LUIS GILBERTO MURILLO,CANDIDATO,ELIMINADO,CEPEDA,BOYACA,123,351,3126,677633,669162,0.000464760401816,0.0004589504938513,361660,1039293
7,1006,9,250,9,CARLOS CAICEDO,CANDIDATO,ELIMINADO,CEPEDA,BOYACA,123,351,3126,677633,669162,0.0003736016091768,0.0003689312651538,361660,1039293
7,3001,5,1161,5,MAURICIO LIZCANO,CANDIDATO,ELIMINADO,CEPEDA,BOYACA,123,351,3126,677633,669162,0.0017350058730172,0.0017133167953744,361660,1039293
9,0,996,9832,996,VOTO EN BLANCO,VOTO_EN_BLANCO,NO_APLICA,INDEFINIDO,CALDAS,27,195,2492,502807,491259,0.0200138826973144,0.0195542225943552,325864,828671
9,0,997,9719,997,VOTO NULO,VOTO_NULO,NO_APLICA,INDEFINIDO,CALDAS,27,195,2492,502807,491259,,0.0193294842752785,325864,828671
9,0,998,1829,998,NO MARCADOS,NO_MARCADO,NO_APLICA,INDEFINIDO,CALDAS,27,195,2492,502807,491259,,0.0036375786335512,325864,828671
9,9,11,61889,11,PALOMA VALENCIA,CANDIDATO,ELIMINADO,ABELARDO,CALDAS,27,195,2492,502807,491259,0.1259803891633537,0.1230869896401601,325864,828671
9,15,12,26703,12,SERGIO FAJARDO,CANDIDATO,ELIMINADO,DIVIDIDO,CALDAS,27,195,2492,502807,491259,0.0543562560685911,0.0531078525159753,325864,828671
9,20,6,1098,6,MIGUEL URIBE,CANDIDATO,ELIMINADO,ABELARDO,CALDAS,27,195,2492,502807,491259,0.0022350735559043,0.00218374048094,325864,828671
9,21,10,147,10,GUSTAVO MATAMORROS,CANDIDATO,ELIMINADO,INCIERTO,CALDAS,27,195,2492,502807,491259,0.0002992311591238,0.0002923586982679,325864,828671
9,22,8,468,8,ROY BARRERAS,CANDIDATO,ELIMINADO,CEPEDA,CALDAS,27,195,2492,502807,491259,0.0009526543025165,0.0009307746312203,325864,828671
9,26,1,146202,1,IVAN CEPEDA,CANDIDATO,PASA_A_SEGUNDA,CEPEDA,CALDAS,27,195,2492,502807,491259,0.2976067614028445,0.2907716081916123,325864,828671
9,1001,3,6093,3,SANTIAGO BOTERO,CANDIDATO,ELIMINADO,INCIERTO,CALDAS,27,195,2492,502807,491259,0.0124028262077641,0.0121179697180031,325864,828671
9,1002,7,611,7,SONDRA MACOLLINS,CANDIDATO,ELIMINADO,INCIERTO,CALDAS,27,195,2492,502807,491259,0.0012437431171744,0.0012151779907598,325864,828671
9,1003,4,218852,4,ABELARDO DE LA ESPRIELLA,CANDIDATO,PASA_A_SEGUNDA,ABELARDO,CALDAS,27,195,2492,502807,491259,0.4454920927657305,0.4352604478457937,325864,828671
9,1004,2,4908,2,CLAUDIA LOPEZ,CANDIDATO,ELIMINADO,CEPEDA,CALDAS,27,195,2492,502807,491259,0.0099906566597253,0.0097612006197208,325864,828671
9,1005,13,359,13,LUIS GILBERTO MURILLO,CANDIDATO,ELIMINADO,CEPEDA,CALDAS,27,195,2492,502807,491259,0.0007307754158193,0.000713991650872,325864,828671
