departamento,municipio,partido,candidato,votos,codigo_candidato,nombre_candidato,tipo_registro,estado_primera_vuelta,bloque_referencia_2v,departamento_nombre,municipio_nombre,potencial,puestos,mesas,total_votos_mmv,votos_validos,pct_validos,pct_total_mmv,abstencion_estimada
1,1,0,996,23454,996,VOTO EN BLANCO,VOTO_EN_BLANCO,NO_APLICA,INDEFINIDO,ANTIOQUIA,MEDELLIN,1806563.0,16,5081.0,1241123,1227731,0.0191035332658375,0.0188974017885415,565440.0
1,1,0,997,11100,997,VOTO NULO,VOTO_NULO,NO_APLICA,INDEFINIDO,ANTIOQUIA,MEDELLIN,1806563.0,16,5081.0,1241123,1227731,,0.0089435132537226,565440.0
1,1,0,998,2292,998,NO MARCADOS,NO_MARCADO,NO_APLICA,INDEFINIDO,ANTIOQUIA,MEDELLIN,1806563.0,16,5081.0,1241123,1227731,,0.0018467146286065,565440.0
1,1,9,11,101941,11,PALOMA VALENCIA,CANDIDATO,ELIMINADO,ABELARDO,ANTIOQUIA,MEDELLIN,1806563.0,16,5081.0,1241123,1227731,0.0830320322611386,0.082136097711508,565440.0
1,1,15,12,105609,12,SERGIO FAJARDO,CANDIDATO,ELIMINADO,DIVIDIDO,ANTIOQUIA,MEDELLIN,1806563.0,16,5081.0,1241123,1227731,0.0860196574005217,0.0850914856948102,565440.0
1,1,20,6,1340,6,MIGUEL URIBE,CANDIDATO,ELIMINADO,ABELARDO,ANTIOQUIA,MEDELLIN,1806563.0,16,5081.0,1241123,1227731,0.001091444298466,0.0010796673657647,565440.0
1,1,21,10,222,10,GUSTAVO MATAMORROS,CANDIDATO,ELIMINADO,INCIERTO,ANTIOQUIA,MEDELLIN,1806563.0,16,5081.0,1241123,1227731,0.0001808213688503,0.0001788702650744,565440.0
1,1,22,8,528,8,ROY BARRERAS,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,MEDELLIN,1806563.0,16,5081.0,1241123,1227731,0.0004300616340224,0.0004254211709878,565440.0
1,1,26,1,300729,1,IVAN CEPEDA,CANDIDATO,PASA_A_SEGUNDA,CEPEDA,ANTIOQUIA,MEDELLIN,1806563.0,16,5081.0,1241123,1227731,0.244946979427904,0.2423039457007887,565440.0
1,1,1001,3,9253,3,SANTIAGO BOTERO,CANDIDATO,ELIMINADO,INCIERTO,ANTIOQUIA,MEDELLIN,1806563.0,16,5081.0,1241123,1227731,0.0075366672341091,0.0074553448771797,565440.0
1,1,1002,7,757,7,SONDRA MACOLLINS,CANDIDATO,ELIMINADO,INCIERTO,ANTIOQUIA,MEDELLIN,1806563.0,16,5081.0,1241123,1227731,0.0006165845775662,0.0006099314894655,565440.0
1,1,1003,4,676358,4,ABELARDO DE LA ESPRIELLA,CANDIDATO,PASA_A_SEGUNDA,ABELARDO,ANTIOQUIA,MEDELLIN,1806563.0,16,5081.0,1241123,1227731,0.5509008080760363,0.5449564628163365,565440.0
1,1,1004,2,5056,2,CLAUDIA LOPEZ,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,MEDELLIN,1806563.0,16,5081.0,1241123,1227731,0.004118165950033,0.0040737300009749,565440.0
