partido,candidato,votos,codigo_candidato,nombre_candidato,tipo_registro,estado_primera_vuelta,bloque_referencia_2v,pct_validos,pct_total_mmv,ranking_nacional
1003,4,10361499,004,ABELARDO DE LA ESPRIELLA,CANDIDATO,PASA_A_SEGUNDA,ABELARDO,0.4374648542986251,0.43211976126418283,1
26,1,9688361,001,IVAN CEPEDA,CANDIDATO,PASA_A_SEGUNDA,CEPEDA,0.4090448141970078,0.4040469667913127,2
9,11,1639685,011,PALOMA VALENCIA,CANDIDATO,ELIMINADO,ABELARDO,0.06922787519649821,0.06838202568455216,3
15,12,1009073,012,SERGIO FAJARDO,CANDIDATO,ELIMINADO,DIVIDIDO,0.04260329252762332,0.04208275114036422,4
0,996,406970,996,VOTO EN BLANCO,VOTO_EN_BLANCO,NO_APLICA,INDEFINIDO,0.017182366350072656,0.016972426406805085,5
0,997,245389,997,VOTO NULO,VOTO_NULO,NO_APLICA,INDEFINIDO,,0.010233793015552725,6
1004,2,225517,002,CLAUDIA LOPEZ,CANDIDATO,ELIMINADO,CEPEDA,0.009521379247043603,0.009405043826285629,7
1001,3,206140,003,SANTIAGO BOTERO,CANDIDATO,ELIMINADO,INCIERTO,0.008703277881426092,0.008596938298888862,8
3001,5,53839,005,MAURICIO LIZCANO,CANDIDATO,ELIMINADO,CEPEDA,0.0022730948765795063,0.002245321437245937,9
0,998,47586,998,NO MARCADOS,NO_MARCADO,NO_APLICA,INDEFINIDO,,0.001984544027801132,10
20,6,28657,006,MIGUEL URIBE,CANDIDATO,ELIMINADO,ABELARDO,0.0012099050851267466,0.0011951220570062002,11
1002,7,19889,007,SONDRA MACOLLINS,CANDIDATO,ELIMINADO,INCIERTO,0.0008397181225559501,0.0008294581635131492,12
22,8,14108,008,ROY BARRERAS,CANDIDATO,ELIMINADO,CEPEDA,0.0005956429822021893,0.0005883652154881346,13
1005,13,13270,013,LUIS GILBERTO MURILLO,CANDIDATO,ELIMINADO,CEPEDA,0.000560262430806851,0.0005534169555945241,14
1006,9,12694,009,CARLOS CAICEDO,CANDIDATO,ELIMINADO,CEPEDA,0.0005359435792511052,0.0005293952399635938,15
21,10,5627,010,GUSTAVO MATAMORROS,CANDIDATO,ELIMINADO,INCIERTO,0.0002375732251808704,0.00023467047544313392,16
