candidato,codigo,pct_abelardo_realista,pct_cepeda_realista,pct_blanco_realista,pct_fuga_realista,nota,pct_abelardo_conservador,pct_cepeda_conservador,pct_blanco_conservador,pct_fuga_conservador,pct_abelardo_agresivo,pct_cepeda_agresivo,pct_blanco_agresivo,pct_fuga_agresivo
PALOMA VALENCIA,11,72,5,12,11,Apoyo público de Paloma a Abelardo; parte de su base puede no migrar al candidato más confrontacional y optar por blanco/fuga.,64.0,0.0,17.0,19.0,80.0,5.0,8.0,7.0
SERGIO FAJARDO,12,35,35,15,15,Centro no disciplinado; base partida con voto blanco/fuga relevante.,27.0,27.0,20.0,26.0,43.0,35.0,11.0,11.0
CLAUDIA LOPEZ,2,10,68,12,10,Descarta a Abelardo; transferencia no necesariamente automática.,2.0,60.0,17.0,21.0,10.0,76.0,8.0,6.0
SANTIAGO BOTERO,3,58,20,10,12,Lectura de prensa sugiere tendencia hacia Abelardo; ajustar si hay adhesión contraria.,50.0,12.0,15.0,23.0,66.0,20.0,6.0,8.0
MAURICIO LIZCANO,5,10,72,8,10,Usuario reporta orientación hacia Cepeda; ajustar con confirmaciones públicas.,2.0,64.0,13.0,21.0,10.0,80.0,4.0,6.0
MIGUEL URIBE,6,80,5,8,7,Respaldo de derecha hacia Abelardo; puede existir voto blanco residual.,72.0,0.0,13.0,15.0,88.0,5.0,4.0,3.0
SONDRA MACOLLINS,7,35,35,15,15,Sin señal robusta; base parametrizable.,27.0,27.0,20.0,26.0,43.0,35.0,11.0,11.0
ROY BARRERAS,8,5,78,8,9,Afinidad y reporte de apoyo hacia Cepeda.,0.0,70.0,13.0,17.0,5.0,86.0,4.0,5.0
LUIS GILBERTO MURILLO,13,5,80,8,7,Renuncia/adhesión previa hacia Cepeda.,0.0,72.0,13.0,15.0,5.0,88.0,4.0,3.0
CARLOS CAICEDO,9,4,83,7,6,Renuncia/adhesión previa hacia Cepeda.,0.0,75.0,12.0,13.0,4.0,91.0,3.0,2.0
GUSTAVO MATAMORROS,10,40,40,10,10,Sin señal robusta; base parametrizable.,32.0,32.0,15.0,21.0,48.0,40.0,6.0,6.0
